dataset,site_name,site_id,X,Y,ESA CCI,Chopping et al.,GEDI L4B,Liu et al.,LT-GNN,Menlove & Healey,Xu et al.
Ameriflux,St Jones Reserve,US-StJ,-75.4372,39.0882,NA,NA,30.64581308459822,NA,NA,55.73483768214421,NA
Ameriflux,Strawberry Swamp,US-StS,-79.2492,33.3302,NA,NA,153.41549286898723,104.66316223144531,NA,31.388685226440426,NA
Ameriflux,Sylvania Wilderness Area,US-Syv,-89.3477,46.242,NA,NA,NA,139.1789948219678,NA,91.69925689697263,NA
Ameriflux,"St. John, WA On-farm site Zone 1",US-SZ1,-117.5306,47.1245,0.03748235782954974,NA,4.440153389546319,10.675437927246094,NA,2.5714416503906237,10.731205940246582
Ameriflux,"St. John, WA On-farm site Zone 2",US-SZ2,-117.5271,47.1226,0.037470403954124244,NA,4.367091961430587,10.675437927246094,NA,2.5714416503906263,10.731205940246582
Ameriflux,"St. John, WA On-farm site Zone 3",US-SZ3,-117.5267,47.1261,0.03747118926184665,NA,4.740553636743265,10.675437927246092,NA,2.5714416503906254,10.731205940246582
Ameriflux,Taylor Slough/Panhandle,US-TaS,-80.6391,25.1908,NA,NA,11.596874880657849,NA,NA,0,NA
Ameriflux,Tall Cypress Swamp,US-TCS,-81.1017,25.8221,NA,NA,57.27261765113139,13.887719154357912,NA,27.17779144507346,NA
Ameriflux,Tenderfoot Creek Experimental Forest,US-TEF,-110.8851,46.9522,54.35581426063909,NA,90.76238706999601,131.83155822753906,NA,74.97007751464842,98.9920883178711
Ameriflux,Thompson Farm Forest,US-TFF,-70.9523,43.1084,NA,NA,148.75741878411765,105.88687896728517,NA,86.76229095458984,NA
Ameriflux,Tonzi Ranch,US-Ton,-120.966,38.4309,3.8124648199092386,24.23293046996409,28.43678988777696,23.775894165039062,25.415252117664938,10.820810317993168,27.805683135986328
Ameriflux,Trout Bog,US-TrB,-89.6862,46.0412,NA,NA,110.638518857011,139.33177185058594,NA,85.33000946044918,NA
Ameriflux,Trout Lake Area South Sparkling Bog,US-TrS,-89.7053,46.0034,NA,NA,132.30580354114747,138.29439448220938,NA,77.80168999223467,NA
Ameriflux,Turner Ranch,US-Tur,-111.2286,45.5571,0.29583806170427435,NA,4.526523494293863,13.816399574279785,NA,0,56.54713439941406
Ameriflux,Twitchell Wetland West Pond,US-Tw1,-121.6469,38.1074,0.24156346714250304,0.03676238244822914,2.3302683283164844,12.504311561584473,10.457039350717594,0,21.650047498983714
Ameriflux,Twitchell Corn,US-Tw2,-121.6365,38.0969,0.08728091926870409,0,2.1880726735781644,12.50431156158447,2.849962316752304,0,12.234742679445711
Ameriflux,Twitchell Alfalfa,US-Tw3,-121.6469,38.1152,0.3104335530284256,1.320325398627942e-4,2.2435974805855574,12.504311561584473,5.894291942447072,0,22.295940399169922
Ameriflux,Twitchell East End Wetland,US-Tw4,-121.6413,38.1027,0.3079671539815906,0.012494201725424188,2.373325660952356,12.504311561584474,8.570364809911444,0,17.886240352016618
Ameriflux,East Pond Wetland,US-Tw5,-121.6426,38.1072,0.24573811350862443,0.01738671801926349,2.3707686949635036,12.504311561584474,9.076483302384418,0,21.532049407273735
Ameriflux,Twitchell Island,US-Twt,-121.6531,38.1087,0.21997432471279638,0.037628646151652616,2.2864349130901767,12.504311561584473,14.131636583024974,0,22.22491119535284
Ameriflux,Stiles Farm Prairie,US-Tx1,-97.2938,30.6176,NA,NA,3.4661516884465935,25.21706199645996,NA,1.704872250556946,NA
Ameriflux,Riesel Farm Native Prairie,US-Tx2,-96.8827,31.4802,NA,NA,5.230718245379603,28.223896026611328,NA,2.7900812625885028,NA
Ameriflux,Riesel Farm Aspirational Agriculture,US-Tx3,-96.8883,31.4777,NA,NA,4.73698354172345,28.223896026611328,NA,2.7900812625885023,NA
Ameriflux,Riesel Farm Traditional Agriculture,US-Tx4,-96.8865,31.4693,NA,NA,4.63866308336774,28.223896026611325,NA,2.790081262588502,NA
Ameriflux,Texas A&M University Farm,US-Tx5,-96.4252,30.5328,NA,NA,6.518262712742095,37.70658493041992,NA,9.223347663879391,NA
Ameriflux,La Copita Grassland - Savanna,US-Tx6,-98.2089,27.6666,NA,NA,3.357654098962682,21.55224609375,NA,5.8763761520385724,NA
Ameriflux,La Copita Shrubland - Savanna,US-Tx7,-98.2007,27.665,NA,NA,3.4466289474642142,21.55224609375,NA,5.876376152038578,NA
Ameriflux,Danciger Lowland Hardwood Forest,US-Tx8,-95.829,29.1659,NA,NA,NA,20.500194549560547,NA,7.697099685668948,NA
Ameriflux,Sargent Unit Salt Marsh,US-Tx9,-95.6144,28.7805,NA,NA,14.626679420471191,13.684517860412598,NA,NA,NA
Ameriflux,LTAR UCB (Upper Chesapeake Bay) EC1,US-UC1,-78.0056,40.7536,NA,NA,143.77143173822594,83.97823504344689,NA,86.78526306152348,NA
Ameriflux,LTAR UCB (Upper Chesapeake Bay) EC2,US-UC2,-77.9998,40.7559,NA,NA,143.20322190591725,82.42852411957749,NA,86.78526306152342,NA
Ameriflux,East River Riparian,US-UG1,-106.9524,38.923,1.3863280928667918,11.970917581966287,34.16222687776243,14.691249847412108,NA,75.42276000976564,65.85589599609375
Ameriflux,University of Illinois Switchgrass,US-UiA,-88.1961,40.0646,NA,NA,5.155547323492931,10.739485740661621,NA,0,NA
Ameriflux,University of Illinois Miscanthus,US-UiB,-88.1984,40.0628,NA,NA,4.771695008204313,10.739485740661621,NA,0,NA
Ameriflux,University of Illinois Maize-Soy,US-UiC,-88.1961,40.0628,NA,NA,4.435351535161232,10.739485740661621,NA,0,NA
